"","GameID","Team","Opponent","Home","Win","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS"
"153","400827964","Nets","Lakers","1","0","40","93","3","19","15","20","14","32","46","21","6","6","15","29","98"
"154","400827964","Lakers","Nets","0","1","33","78","7","23","31","40","5","35","40","14","9","6","15","22","104"
"155","400827965","Cavaliers","76ers","1","1","45","88","10","26","8","12","11","34","45","29","9","0","17","20","108"
"156","400827965","76ers","Cavaliers","0","0","41","79","10","23","10","15","7","31","38","23","9","4","16","18","102"
"157","400827966","Knicks","Bucks","1","0","33","81","4","24","22","28","14","29","43","20","3","5","15","22","92"
"158","400827966","Bucks","Knicks","0","1","35","81","3","14","26","29","13","28","41","21","6","5","12","24","99"
"159","400827967","Pacers","Heat","1","1","36","80","5","15","13","24","9","34","43","21","4","5","12","15","90"
"160","400827967","Heat","Pacers","0","0","36","81","6","20","9","13","7","33","40","21","5","6","11","19","87"
"161","400827968","Pelicans","Hawks","1","0","42","84","10","30","21","24","6","26","32","30","9","7","12","24","115"
"162","400827968","Hawks","Pelicans","0","1","41","77","9","21","30","35","6","35","41","30","10","6","15","21","121"
"163","400827969","Suns","Pistons","1","0","37","92","10","30","8","13","11","35","46","14","8","3","16","29","92"
"164","400827969","Pistons","Suns","0","1","37","74","8","22","18","36","6","41","47","15","8","3","15","21","100"
"165","400827970","Warriors","Nuggets","1","1","46","93","17","37","10","18","13","40","53","40","10","6","20","22","119"
"166","400827970","Nuggets","Warriors","0","0","39","92","8","24","18","22","10","34","44","23","13","5","19","20","104"
"167","400827971","Kings","Rockets","1","0","40","93","9","28","21","29","14","29","43","26","14","3","15","19","110"
"168","400827971","Rockets","Kings","0","1","40","82","15","36","21","27","14","35","49","23","8","4","21","26","116"
"169","400827972","Bulls","Timberwolves","1","0","33","93","11","32","16","23","10","40","50","20","7","6","18","26","93"
"170","400827972","Timberwolves","Bulls","0","1","39","96","7","16","17","27","14","44","58","26","8","7","15","23","102"
"171","400827973","Hawks","Wizards","1","1","43","92","13","33","15","15","10","29","39","37","12","4","14","15","114"
"172","400827973","Wizards","Hawks","0","0","38","78","8","24","15","17","8","33","41","27","11","3","24","18","99"
"173","400827974","76ers","Magic","1","0","36","80","11","33","14","26","10","28","38","24","6","10","16","20","97"
"174","400827974","Magic","76ers","0","1","39","83","6","13","21","24","10","31","41","24","10","7","13","23","105"
"175","400827975","Mavericks","Pelicans","1","1","40","84","9","24","18","22","6","36","42","20","5","2","9","17","107"
"176","400827975","Pelicans","Mavericks","0","0","39","86","9","28","11","13","7","35","42","21","7","6","12","24","98"
"177","400827976","Bucks","Nets","1","1","37","82","8","20","12","16","10","31","41","27","9","6","15","16","94"
"178","400827976","Nets","Bucks","0","0","34","82","3","9","15","19","17","35","52","18","11","3","18","18","86"
"179","400827977","Spurs","Hornets","1","1","45","81","9","21","15","23","6","36","42","35","11","3","12","26","114"
"180","400827977","Hornets","Spurs","0","0","34","73","6","19","20","31","6","27","33","15","7","0","15","18","94"
"181","400827978","Jazz","Grizzlies","1","1","31","74","12","27","15","18","9","40","49","18","7","10","21","20","89"
"182","400827978","Grizzlies","Jazz","0","0","30","91","6","19","13","14","13","31","44","16","8","1","14","21","79"
"183","400827979","Kings","Warriors","1","0","38","87","6","19","12","16","13","32","45","26","9","3","21","19","94"
"184","400827979","Warriors","Kings","0","1","38","92","8","39","19","22","15","31","46","27","13","2","18","15","103"
"185","400827980","Clippers","Rockets","1","0","42","88","4","22","17","25","11","30","41","29","8","5","12","23","105"
"186","400827980","Rockets","Clippers","0","1","38","86","7","30","26","29","11","36","47","16","7","3","14","27","109"
"187","400827981","Cavaliers","Pacers","1","1","38","83","8","24","17","25","11","37","48","25","5","4","10","20","101"
"188","400827981","Pacers","Cavaliers","0","0","39","90","6","18","13","19","12","35","47","22","5","4","7","20","97"
"189","400827982","Knicks","Lakers","1","1","33","84","9","27","24","29","10","42","52","22","5","5","9","15","99"
"190","400827982","Lakers","Knicks","0","0","36","94","9","27","14","23","12","34","46","19","7","3","9","20","95"
"191","400827983","Heat","Raptors","1","1","35","83","8","20","18","25","13","35","48","18","8","8","10","20","96"
"192","400827983","Raptors","Heat","0","0","28","71","3","19","17","22","7","31","38","17","8","5","16","21","76"
"193","400827984","Thunder","Suns","1","1","49","94","4","20","22","30","17","35","52","26","14","8","15","25","124"
"194","400827984","Suns","Thunder","0","0","38","84","7","16","20","26","7","26","33","18","7","1","23","25","103"
"195","400827985","Trail Blazers","Pistons","1","0","41","76","9","25","12","18","7","33","40","24","5","2","22","22","103"
"196","400827985","Pistons","Trail Blazers","0","1","47","96","11","30","15","22","18","28","46","16","13","5","9","16","120"
"197","400827986","Pacers","Magic","1","1","34","77","11","25","18","22","6","36","42","25","12","4","18","16","97"
"198","400827986","Magic","Pacers","0","0","31","78","10","33","12","17","7","37","44","16","9","3","21","20","84"
"199","400827987","76ers","Bulls","1","0","35","100","5","25","13","23","15","37","52","19","6","9","13","13","88"
"200","400827987","Bulls","76ers","0","1","41","96","10","25","19","23","13","45","58","28","6","10","14","19","111"
"201","400827988","Hawks","Timberwolves","1","0","44","86","13","31","6","7","4","23","27","30","13","6","17","19","107"
